model,mean_auc,ci_lower,ci_upper
CatBoost,0.6943198205431631,0.5325742531701468,0.8257454230490329
RandomForest,0.6808313777420374,0.5474799740405398,0.82237025177958
LightGBM,0.6623591264408745,0.5172320137723992,0.8074862391093497
XGBoost,0.6486420541959849,0.43935876738630186,0.83917517851438
LogisticRegression,0.6102567349053174,0.4430525743229956,0.7934859260148213
DecisionTree,0.6287133593523195,0.5435893989471239,0.7197176526229668
