model,test_auc,test_f1
LogisticRegression,0.91652318640955,0.7188811188811188
DecisionTree,0.3945625081988718,0.3899926416482708
RandomForest,0.7413624885215794,0.42845849802371544
XGBoost,0.6166767786085968,0.3889695210449927
CatBoost,0.7788900913900914,0.6036363636363636
LightGBM,0.6860815951725042,0.40762463343108507
